Date,Open,High,Low,Close,Vol
2021-12-03,1003.23,1008.15,995.02,1005.17,853454
2021-12-06,1016.09,1021.85,984.18,984.48,1001944
2021-12-07,987.95,991.54,963.08,970.10,827503
2021-12-08,972.70,980.47,969.65,977.39,641311
2021-12-09,976.24,980.13,970.28,974.34,726716
2021-12-10,974.21,976.77,961.28,962.61,977938
2021-12-13,968.84,980.13,961.62,969.26,983229
2021-12-14,966.56,974.55,960.72,971.10,795523
2021-12-15,981.22,998.75,976.73,993.27,1466549
2021-12-16,994.16,1065.12,992.81,1060.81,2685261
2021-12-17,1055.87,1070.98,1042.62,1058.06,2892624
2021-12-20,1061.22,1066.03,1044.97,1047.72,2304600
2021-12-21,1047.71,1077.62,1042.76,1066.51,2408973
2021-12-22,1072.99,1072.99,1047.67,1056.69,1620746
2021-12-23,1050.93,1064.90,1043.49,1055.38,1392260
2021-12-24,1058.04,1059.32,1025.32,1026.33,1299298
2021-12-27,1026.93,1040.33,1021.76,1033.25,1107012
2021-12-28,1031.71,1034.32,1025.68,1033.93,891457
2021-12-29,1034.24,1040.62,1027.01,1031.63,1130184
2021-12-30,1028.18,1044.46,1027.83,1033.07,1203861
2021-12-31,1033.13,1044.58,1030.22,1033.32,1089478
2022-01-04,1036.67,1050.41,1033.41,1045.70,1460221
2022-01-05,1047.94,1048.12,1016.43,1024.86,1151453
2022-01-06,1018.59,1047.58,1018.02,1043.60,1313017
2022-01-07,1047.14,1047.14,1005.67,1007.09,1262207
2022-01-10,1006.45,1017.83,1000.57,1009.84,939786
2022-01-11,1010.11,1020.51,994.01,996.98,923210
2022-01-12,999.53,1025.96,999.53,1025.06,1203571
2022-01-13,1030.78,1035.05,1017.61,1018.36,1309141
2022-01-14,1018.70,1022.85,1007.93,1009.65,929573
2022-01-17,1009.92,1028.75,1007.68,1026.90,984619
2022-01-18,1029.86,1035.76,1018.47,1035.76,1289266
2022-01-19,1036.98,1039.55,1016.85,1027.26,1287994
2022-01-20,1025.92,1026.78,1001.32,1006.13,1154476
2022-01-21,1001.08,1001.08,978.49,979.82,929694
2022-01-24,977.63,989.89,967.16,981.62,790726
2022-01-25,982.93,985.22,944.15,944.15,939488
2022-01-26,947.74,969.36,947.74,966.69,991953
2022-01-27,971.62,972.48,937.51,938.91,891336
2022-01-28,949.06,963.49,931.74,955.18,804259
2022-02-07,973.88,989.71,965.10,989.17,1183786
2022-02-08,989.55,1007.84,984.63,1007.84,1400221
2022-02-09,1006.34,1013.48,1000.62,1010.04,1203815
2022-02-10,1016.28,1028.76,1002.48,1007.13,1160744
2022-02-11,1002.35,1005.13,980.69,982.93,1056144
