Date,Open,High,Low,Close,Vol
2021-07-22,68.00,99.69,68.00,95.50,17300058
2021-07-23,90.98,92.99,83.50,90.75,6839493
2021-07-26,91.00,92.74,81.50,82.80,4174942
2021-07-27,83.00,83.80,70.33,72.50,3639282
2021-07-28,72.50,79.70,69.05,76.70,1894003
2021-07-29,76.00,92.04,76.00,92.04,3338983
2021-07-30,98.00,102.80,93.10,100.00,4820137
2021-08-02,97.00,99.86,85.30,93.63,3451911
2021-08-03,91.08,91.70,82.78,84.40,2538093
2021-08-04,85.00,89.57,82.82,88.19,2376052
2021-08-05,89.18,94.66,87.02,88.80,3512523
2021-08-06,89.13,92.00,85.18,87.90,2526591
2021-08-09,85.88,86.98,78.75,84.00,2529922
2021-08-10,82.23,90.71,81.38,90.47,2622622
2021-08-11,89.20,95.87,86.11,94.44,2568460
2021-08-12,93.40,100.98,92.57,98.79,2326561
2021-08-13,100.79,108.02,94.41,95.55,2684221
2021-08-16,96.05,97.25,89.66,93.50,1451476
2021-08-17,92.00,94.47,88.20,88.89,667571
2021-08-18,89.20,90.72,82.06,85.00,1232197
2021-08-19,84.25,88.33,82.51,87.50,606153
2021-08-20,89.00,91.08,83.01,84.36,798799
2021-08-23,85.83,94.49,83.01,90.47,3453847
2021-08-24,94.31,94.31,89.76,93.77,2169125
2021-08-25,93.77,97.66,91.51,92.08,1803644
2021-08-26,93.10,93.92,88.00,88.30,967172
2021-08-27,86.00,90.88,84.03,90.10,1190012
2021-08-30,87.97,96.67,87.78,95.87,1418471
2021-08-31,96.11,97.65,92.00,93.81,963521
2021-09-01,93.26,93.66,88.58,91.98,926122
2021-09-02,90.11,90.20,87.28,88.88,1051161
2021-09-03,88.00,90.79,86.15,86.73,519671
2021-09-06,87.00,91.38,86.18,87.97,776041
2021-09-07,89.30,89.30,78.00,82.50,1855132
2021-09-08,81.50,82.70,79.35,81.67,727431
2021-09-09,80.75,81.48,78.25,78.68,545075
2021-09-10,78.00,79.26,73.21,76.31,944001
