Date,Open,High,Low,Close,Vol
2010-07-01,2564.27,2575.81,2507.33,2509.65,4785996
2010-07-02,2515.41,2520.79,2440.93,2508.18,6047438
2010-07-05,2460.01,2507.30,2451.53,2491.73,4837875
2010-07-06,2484.54,2553.37,2484.54,2552.60,5305089
2010-07-07,2568.70,2592.62,2559.17,2592.62,5960524
2010-07-08,2609.90,2612.55,2577.89,2593.61,5344675
2010-07-09,2600.76,2686.85,2578.34,2668.33,7806692
2010-07-12,2672.42,2708.14,2662.87,2696.31,7839758
2010-07-13,2656.70,2668.27,2634.92,2654.42,5661063
2010-07-14,2673.15,2708.40,2661.61,2672.91,6959316
2010-07-15,2671.87,2709.63,2644.76,2644.76,6126864
2010-07-16,2634.12,2658.86,2607.60,2653.67,4702731
2010-07-19,2629.23,2742.61,2629.23,2733.75,8137402
2010-07-20,2740.64,2794.86,2740.64,2786.85,10097502
2010-07-21,2786.23,2825.28,2777.02,2800.87,8944265
2010-07-22,2791.27,2833.20,2791.27,2829.13,6784187
2010-07-23,2839.84,2844.75,2808.29,2833.51,8086695
2010-07-26,2839.36,2851.81,2810.87,2844.51,6219727
2010-07-27,2830.45,2853.91,2827.68,2839.97,6700903
2010-07-28,2837.43,2914.24,2831.34,2912.47,9638403
2010-07-29,2921.16,2929.97,2886.56,2915.82,9502248
2010-07-30,2899.03,2914.32,2883.88,2911.60,6461734
2010-08-02,2910.82,2976.02,2910.82,2964.50,7837202
2010-08-03,2973.69,2981.28,2910.59,2910.59,8521010
2010-08-04,2909.33,2924.14,2861.14,2922.66,8084170
2010-08-05,2913.19,2931.29,2895.81,2912.75,8541477
2010-08-06,2905.72,2955.89,2877.72,2954.91,8810124
2010-08-09,2948.40,2982.37,2947.25,2971.05,7911084
2010-08-10,2975.56,2982.22,2889.94,2890.10,8427773
2010-08-11,2890.06,2930.03,2889.39,2920.23,7410963
2010-08-12,2881.04,2934.38,2881.04,2891.94,7747203
2010-08-13,2901.09,2935.52,2871.96,2935.52,7376474
2010-08-16,2922.67,3012.08,2921.02,3005.64,9869583
2010-08-17,3010.28,3051.88,3007.70,3041.33,9880981
2010-08-18,3046.17,3065.72,3028.54,3042.52,8921972
2010-08-19,3054.94,3070.50,3031.66,3052.34,9049040
2010-08-20,3032.69,3041.72,2983.05,2993.52,9248211
2010-08-23,2999.27,3025.71,2992.21,3000.98,6939691
2010-08-24,2991.06,3045.76,2974.82,3023.19,7612210
2010-08-25,2996.63,3022.55,2957.92,2960.77,8205716
2010-08-26,2982.45,2997.90,2966.52,2984.59,6871155
2010-08-27,2977.56,2996.41,2958.40,2996.41,7342032
2010-08-30,3022.98,3087.68,3015.79,3083.64,10600080
2010-08-31,3063.07,3098.16,3063.07,3088.79,12008886
2010-09-01,3097.22,3108.39,3024.32,3058.02,12799037
2010-09-02,3093.85,3132.15,3071.09,3112.58,11345274
2010-09-03,3121.21,3150.57,3101.23,3127.05,11001988
2010-09-06,3158.56,3172.23,3130.53,3152.13,11444560
2010-09-07,3157.87,3168.29,3137.54,3161.27,7348781
2010-09-08,3147.33,3187.89,3147.33,3185.87,9372295
2010-09-09,3199.61,3199.61,3127.72,3131.93,11234161
2010-09-10,3146.90,3146.90,3092.92,3133.07,8885560
2010-09-13,3137.37,3195.98,3130.63,3183.01,9352104
2010-09-14,3196.32,3206.14,3179.12,3188.79,9473115
2010-09-15,3177.58,3177.58,3109.39,3119.25,8491705
2010-09-16,3108.54,3121.99,3031.58,3063.32,9144618
2010-09-17,3072.82,3081.85,3042.34,3064.91,5679839
2010-09-20,3075.93,3089.19,3040.91,3066.80,6378213
2010-09-21,3086.75,3104.58,3080.27,3092.50,5402105
2010-09-27,3118.81,3156.19,3102.34,3153.13,7283006
2010-09-28,3139.35,3156.23,3117.20,3122.51,7991357
2010-09-29,3116.61,3147.93,3097.73,3104.83,6595040
2010-09-30,3088.94,3164.73,3088.94,3164.73,8141356
2010-10-08,3200.32,3269.26,3188.74,3253.63,11816246
2010-10-11,3267.95,3300.47,3254.93,3292.11,18034293
2010-10-12,3277.72,3337.12,3277.72,3336.93,15856622
2010-10-13,3344.58,3401.49,3331.55,3397.00,19656776
2010-10-14,3419.61,3422.35,3342.85,3342.85,19246738
2010-10-15,3322.90,3424.82,3314.28,3424.82,21703131
2010-10-18,3448.60,3453.07,3353.26,3397.61,22752357
2010-10-19,3385.94,3497.67,3377.89,3497.67,14341322
2010-10-20,3425.59,3564.18,3425.59,3523.70,20341646
2010-10-21,3535.52,3561.85,3495.34,3516.65,14593994
2010-10-22,3520.47,3587.67,3515.85,3559.99,12927155
2010-10-25,3599.32,3651.83,3595.22,3651.83,16147795
2010-10-26,3654.56,3672.10,3609.88,3640.02,13835333
2010-10-27,3620.82,3666.09,3583.40,3591.94,13020129
2010-10-28,3590.97,3611.01,3544.12,3556.12,10119940
2010-10-29,3557.22,3574.89,3517.62,3558.22,11200446
2010-11-01,3584.33,3630.06,3580.18,3630.06,14000106
2010-11-02,3644.14,3646.65,3580.15,3581.56,15579753
2010-11-03,3576.67,3576.67,3527.14,3529.11,13920710
2010-11-04,3550.46,3582.58,3527.90,3582.58,12584104
2010-11-05,3633.07,3634.89,3576.36,3594.10,15193647
2010-11-08,3611.23,3652.25,3586.61,3652.25,16436441
2010-11-09,3637.70,3640.19,3594.06,3616.03,14082782
2010-11-10,3594.33,3618.16,3575.34,3610.77,15956642
2010-11-11,3610.01,3649.87,3591.04,3600.31,16930030
2010-11-12,3572.00,3596.24,3382.82,3384.19,19698674
2010-11-15,3425.00,3442.34,3382.20,3442.26,11292701
2010-11-16,3428.72,3435.85,3282.86,3296.35,13795948
2010-11-17,3250.48,3293.24,3199.55,3211.02,11208686
2010-11-18,3265.99,3277.52,3212.41,3269.64,8480828
2010-11-19,3297.29,3316.23,3208.95,3316.23,10733376
2010-11-22,3277.03,3347.46,3277.03,3317.91,10492676
2010-11-23,3299.36,3300.67,3213.68,3254.07,10233169
2010-11-24,3267.14,3352.02,3267.14,3351.86,10316791
2010-11-25,3365.91,3414.57,3365.51,3408.19,11575199
2010-11-26,3384.77,3406.96,3348.48,3369.38,7563708
2010-11-29,3349.29,3387.16,3330.95,3369.48,7820639
2010-11-30,3369.04,3388.70,3226.91,3319.34,11422702
2010-12-01,3302.23,3335.20,3285.09,3322.00,6561246
2010-12-02,3374.77,3374.77,3327.81,3327.81,8118656
2010-12-03,3336.39,3350.66,3299.53,3324.51,6926937
2010-12-06,3340.33,3354.92,3302.74,3317.30,8249469
2010-12-07,3285.95,3370.74,3266.62,3353.16,7486084
2010-12-08,3358.11,3389.37,3339.32,3342.89,9025245
2010-12-09,3317.94,3332.95,3280.56,3282.92,9492006
2010-12-10,3267.61,3322.08,3265.38,3313.29,7623481
2010-12-13,3335.38,3422.68,3328.56,3422.68,11669085
2010-12-14,3429.95,3455.83,3427.98,3446.04,9480814
2010-12-15,3448.46,3452.69,3412.28,3414.97,8683190
2010-12-16,3424.35,3438.86,3400.19,3405.76,6453275
2010-12-17,3406.10,3412.77,3392.80,3408.63,5668773
2010-12-20,3427.86,3429.91,3296.82,3354.29,8700843
2010-12-21,3367.46,3412.32,3344.06,3411.85,11262369
2010-12-22,3414.41,3427.39,3366.59,3381.37,9632931
2010-12-23,3376.08,3389.46,3338.85,3341.50,7341064
2010-12-24,3323.80,3351.06,3305.47,3327.25,6691926
2010-12-27,3347.87,3374.94,3244.19,3253.78,8869944
2010-12-28,3236.39,3251.48,3177.71,3183.85,7590263
2010-12-29,3196.49,3220.78,3175.78,3220.78,5801670
2010-12-30,3211.70,3236.88,3187.14,3226.32,6960760
2010-12-31,3237.45,3295.93,3229.59,3294.87,7500883
2011-01-04,3320.66,3345.74,3296.46,3344.18,11233764
2011-01-05,3315.89,3356.59,3315.89,3338.12,11830200
2011-01-06,3345.77,3370.09,3323.55,3341.62,8469945
2011-01-07,3334.41,3376.37,3316.35,3338.01,11264130
2011-01-10,3337.06,3351.55,3271.08,3275.45,8611715
2011-01-11,3262.85,3290.80,3250.62,3279.84,7440220
2011-01-12,3289.57,3306.29,3259.18,3294.24,6147487
2011-01-13,3309.86,3309.86,3283.94,3300.01,6143935
2011-01-14,3286.38,3291.78,3258.23,3269.04,7278313
2011-01-17,3249.92,3256.52,3146.95,3147.10,9468821
2011-01-18,3138.09,3158.99,3118.66,3157.26,5983070
2011-01-19,3154.25,3221.98,3144.18,3221.98,7348671
2011-01-20,3206.69,3211.88,3108.61,3110.65,8417090
2011-01-21,3106.74,3182.42,3098.82,3136.52,8673959
2011-01-24,3138.94,3152.28,3091.68,3108.14,6430515
2011-01-25,3095.80,3112.62,3085.46,3102.06,5843260
2011-01-26,3111.30,3152.19,3107.21,3144.47,5537485
2011-01-27,3100.35,3195.34,3098.35,3181.90,9979006
2011-01-28,3175.45,3212.87,3175.22,3203.11,8231615
2011-01-31,3195.92,3237.51,3193.06,3234.93,7643097
2011-02-01,3240.69,3248.10,3226.99,3240.68,6247262
2011-02-09,3209.72,3254.42,3208.04,3213.73,6932835
2011-02-10,3207.70,3313.95,3207.70,3310.89,10242301
2011-02-11,3306.05,3351.56,3306.05,3334.24,10509419
2011-02-14,3352.35,3431.73,3352.35,3422.31,15911682
2011-02-15,3440.47,3470.69,3422.58,3424.89,12930156
2011-02-16,3418.95,3459.41,3396.14,3459.41,11383493
2011-02-17,3467.04,3472.45,3430.56,3448.17,11116246
2011-02-18,3429.72,3438.23,3396.20,3400.41,8773995
2011-02-21,3387.97,3454.53,3387.97,3454.42,9509411
2011-02-22,3463.87,3468.11,3374.45,3375.23,13626575
2011-02-23,3375.77,3393.60,3355.14,3380.97,7571342
2011-02-24,3359.48,3416.36,3359.48,3408.75,8430250
2011-02-25,3406.16,3432.32,3380.83,3423.48,7300521
2011-02-28,3434.33,3487.47,3416.70,3487.14,10911839
