Date,Open,High,Low,Close,Vol
2020-12-04,90.14,108.17,90.14,108.17,609435
2020-12-07,118.80,118.80,97.35,97.35,9405624
2020-12-08,89.00,96.50,87.63,93.40,7894736
2020-12-09,90.30,91.66,88.60,88.90,3777226
2020-12-10,88.00,88.00,83.58,83.66,4568170
2020-12-11,81.25,85.19,81.25,81.83,3011315
2020-12-14,82.01,82.79,78.04,78.33,3376533
2020-12-15,78.06,79.62,77.47,78.65,2101558
2020-12-16,78.24,79.11,77.33,77.35,1930737
2020-12-17,77.34,80.94,77.32,80.22,2731682
2020-12-18,79.50,80.20,77.98,78.00,1932921
2020-12-21,78.47,79.20,77.05,78.41,1738734
2020-12-22,77.70,78.01,76.10,76.16,2241140
2020-12-23,76.38,76.80,75.31,75.49,1779904
2020-12-24,75.31,75.32,71.12,71.18,2727833
2020-12-25,70.00,70.99,69.16,70.10,1557242
2020-12-28,70.00,70.50,66.82,66.85,2206565
2020-12-29,66.40,68.48,65.30,66.54,1881123
2020-12-30,66.25,70.45,65.86,69.95,2131038
2020-12-31,70.12,73.29,70.12,71.12,2198185
2021-01-04,71.00,72.09,69.58,71.19,1642983
2021-01-05,71.18,73.28,70.27,72.56,1874969
2021-01-06,72.58,76.49,72.58,74.63,2849549
2021-01-07,74.00,74.00,71.00,71.22,1955765
2021-01-08,70.90,73.29,68.68,72.83,1528777
2021-01-11,73.28,73.29,71.02,71.19,1141004
2021-01-12,70.51,71.48,69.37,69.55,1208656
2021-01-13,69.97,70.00,66.67,66.94,1479957
2021-01-14,66.89,68.66,66.00,68.18,1120002
2021-01-15,68.10,70.89,67.75,70.60,1320037
2021-01-18,70.63,71.87,69.91,71.33,1115737
2021-01-19,71.33,72.48,70.71,71.16,1159823
2021-01-20,71.50,72.56,71.16,72.00,951501
2021-01-21,71.77,71.79,70.01,70.15,1248538
2021-01-22,69.00,69.00,67.12,67.20,1793179
2021-01-25,67.20,72.47,67.11,72.11,2497154
2021-01-26,71.01,73.68,71.01,71.68,1656933
2021-01-27,70.80,73.69,70.80,73.50,1913053
2021-01-28,72.60,74.55,71.22,71.60,1574181
2021-01-29,71.60,72.57,69.50,70.13,1116143
2021-02-01,69.80,70.96,68.66,70.68,818794
2021-02-02,71.01,77.50,71.01,75.51,3466714
2021-02-03,74.99,75.76,72.31,72.35,1850156
2021-02-04,72.24,74.50,69.80,73.80,2016222
2021-02-05,73.08,73.98,69.00,69.08,1934584
2021-02-08,69.00,69.00,63.00,63.76,2275939
2021-02-09,63.26,64.53,63.03,63.83,899089
2021-02-10,63.95,65.99,63.91,64.80,1050267
2021-02-18,65.51,67.78,65.00,67.44,992886
2021-02-19,67.46,68.11,66.14,67.78,853177
2021-02-22,68.00,68.78,67.22,67.54,1102292
2021-02-23,67.45,68.99,67.00,68.71,1044181
2021-02-24,68.70,68.80,67.55,67.92,752875
2021-02-25,67.76,68.18,66.00,66.13,828681
2021-02-26,66.11,67.27,66.10,66.62,560268
2021-03-01,67.09,68.35,66.66,68.10,701464
2021-03-02,67.99,68.14,66.77,67.06,527212
2021-03-03,66.81,67.50,66.55,67.23,431332
2021-03-04,67.01,67.46,66.06,66.10,625699
2021-03-05,66.09,66.56,65.60,66.28,448366
2021-03-08,66.51,67.75,66.51,67.01,797685
2021-03-09,67.60,70.44,66.41,69.33,1687994
2021-03-10,69.45,69.90,67.10,68.50,1044633
2021-03-11,68.38,72.00,67.83,71.90,1697366
2021-03-12,72.70,73.18,70.61,72.76,1653489
2021-03-15,73.50,75.00,72.04,73.02,1251132
2021-03-16,72.09,73.75,71.06,73.03,978617
2021-03-17,72.00,74.68,72.00,74.15,866249
2021-03-18,74.24,80.79,74.23,76.82,3163675
2021-03-19,77.00,80.28,76.90,78.28,2026512
2021-03-22,77.93,78.90,76.00,78.00,2278013
2021-03-23,77.30,83.80,76.81,79.81,2910987
2021-03-24,78.92,81.26,77.54,78.00,1499495
2021-03-25,77.11,78.57,76.50,77.26,1010582
2021-03-26,77.49,80.26,77.20,79.76,1452396
2021-03-29,79.65,83.47,79.21,82.66,1649244
2021-03-30,82.66,83.86,79.55,80.70,1309701
2021-03-31,79.85,82.00,78.28,81.01,1191053
2021-04-01,80.41,80.90,77.01,77.65,1354786
2021-04-02,78.50,79.85,76.60,78.67,1252401
2021-04-06,78.01,78.66,76.20,76.40,1220178
2021-04-07,76.94,77.10,73.52,74.52,1446771
2021-04-08,74.60,75.53,73.90,74.05,954525
2021-04-09,74.04,75.24,73.52,74.80,846300
2021-04-12,74.99,75.88,73.50,73.82,888993
2021-04-13,73.55,74.53,72.72,72.93,688757
2021-04-14,72.93,73.50,71.95,73.23,523015
2021-04-15,73.16,74.51,72.60,73.62,802006
2021-04-16,73.50,75.62,72.81,75.11,911936
2021-04-19,76.34,80.32,76.31,79.60,2469256
2021-04-20,79.50,82.30,78.90,79.20,1913951
2021-04-21,76.86,80.19,75.61,78.85,1870815
2021-04-22,80.00,83.09,79.52,82.98,2701734
2021-04-23,82.98,85.45,82.50,82.91,1588864
2021-04-26,82.90,85.55,82.90,84.84,1929599
2021-04-27,84.86,85.49,82.79,84.75,970075
2021-04-28,84.75,85.20,79.52,81.30,1802664
2021-04-29,81.95,85.48,80.00,85.29,1578325
2021-04-30,84.60,87.98,84.06,87.90,1398393
2021-05-06,87.79,94.96,86.67,91.70,1880325
2021-05-07,90.01,91.32,87.50,87.65,820283
2021-05-10,88.00,89.60,85.00,89.35,627366
2021-05-11,89.00,91.87,85.62,86.09,805215
2021-05-12,86.22,88.60,85.10,88.49,1033131
2021-05-13,87.21,89.28,85.50,89.09,678724
2021-05-14,89.95,89.95,86.81,87.99,743442
2021-05-17,53.75,58.58,53.00,57.79,2563229
2021-05-18,57.36,58.58,56.01,56.60,1557118
2021-05-19,56.06,60.20,55.73,59.42,2450278
2021-05-20,60.34,60.46,58.21,59.15,1443496
2021-05-21,60.30,60.30,57.02,57.24,1313170
2021-05-24,56.66,59.35,56.38,58.58,966335
2021-05-25,57.64,59.50,56.56,56.68,1735089
2021-05-26,56.82,58.96,56.10,58.50,1469863
2021-05-27,58.50,61.66,57.66,61.00,1956458
2021-05-28,61.00,63.43,60.06,62.07,1543896
